PropertyName,DefinedInCollection,Depth,ColumnName,SubCollectionName,DataType,EffectiveDataType,PropertyValue,DoNotUse
AESITN,AIT_SS_BOLs,0,AESITN,,String,String,,0
AIT_SS_BOLDetailsValues,AIT_SS_BOLs,0,,AIT_SS_BOLDetailsValues,,,ShipmentId=shipment_id,0
AIT_SS_ShopResults,AIT_SS_BOLs,0,,AIT_SS_ShopResults,,,,0
AITSSBOLSeqSerials,AIT_SS_BOLs,0,,AIT_SS_BOL_Seq_Serials,,,,0
AITSSvalidate_address,AIT_SS_BOLs,0,validate_address,,Byte,Byte,,0
AsnExtracted,AIT_SS_BOLs,0,asn_extracted,,,Byte,,0
AsnPrinted,AIT_SS_BOLs,0,asn_printed,,,Byte,,0
Authorizer,AIT_SS_BOLs,0,authorizer,,,String,,0
AuthorizerFax,AIT_SS_BOLs,0,authorizer_fax,,,String,,0
AuthorizerPhone,AIT_SS_BOLs,0,authorizer_phone,,,String,,0
AuthorizerTitle,AIT_SS_BOLs,0,authorizer_title,,,String,,0
BillTransportationTo,AIT_SS_BOLs,0,BillTransportationTo,,String,String,,0
BOLPrinted,AIT_SS_BOLs,0,bol_printed,,,Byte,,0
BR_Addr1,AIT_SS_BOLs,0,BR_Addr1,,String,String,,0
BR_Addr2,AIT_SS_BOLs,0,BR_Addr2,,String,String,,0
BR_Addr3,AIT_SS_BOLs,0,BR_Addr3,,String,String,,0
BR_Addr4,AIT_SS_BOLs,0,BR_Addr4,,String,String,,0
BR_broker_account,AIT_SS_BOLs,0,BR_broker_account,,String,String,,0
BR_broker_type,AIT_SS_BOLs,0,BR_broker_type,,String,String,,0
BR_City,AIT_SS_BOLs,0,BR_City,,String,String,,0
BR_Contact,AIT_SS_BOLs,0,BR_Contact,,String,String,,0
BR_Country,AIT_SS_BOLs,0,BR_Country,,String,String,,0
BR_CustNum,AIT_SS_BOLs,0,BR_CustNum,,String,String,,0
BR_CustSeq,AIT_SS_BOLs,0,BR_CustSeq,,String,String,,0
BR_Email,AIT_SS_BOLs,0,BR_Email,,String,String,,0
BR_Fax,AIT_SS_BOLs,0,BR_Fax,,String,String,,0
BR_Name,AIT_SS_BOLs,0,BR_Name,,String,String,,0
BR_PartyNum,AIT_SS_BOLs,0,BR_PartyNum,,Long Integer,Long Integer,,0
BR_Phone,AIT_SS_BOLs,0,BR_Phone,,String,String,,0
BR_Phone_ext,AIT_SS_BOLs,0,BR_Phone_ext,,String,String,,0
BR_State,AIT_SS_BOLs,0,BR_State,,String,String,,0
BR_TaxID,AIT_SS_BOLs,0,BR_TaxID,,String,String,,0
BR_Terms,AIT_SS_BOLs,0,BR_Terms,,String,String,,0
BR_Zip,AIT_SS_BOLs,0,BR_Zip,,String,String,,0
CadName,AIT_SS_BOLs,0,name,,,String,,0
CarrierCode,AIT_SS_BOLs,0,carrier_code,,String,String,,0
CarrierContact,AIT_SS_BOLs,0,carrier_contact,,String,String,,0
CarrierLogoPath,AIT_SS_BOLs,0,,,String,String,(Select TOP 1 x.LogoPath from AIT_SS_CarrierLogos x where x.carrier_code = CarrierCode),0
CarrierName,AIT_SS_BOLs,0,carrier_name,,,String,,0
CarrierNum,AIT_SS_BOLs,0,carrier_num,,,String,,0
CarrierURL,AIT_SS_BOLs,0,url,,String,String,,0
