PropertyName,DefinedInCollection,Depth,ColumnName,SubCollectionName,DataType,EffectiveDataType,PropertyValue,DoNotUse, TableAlias, TableName, JoinText
BillToName,Chap_InvoiceLines,0,name,,String,String,,0,ca0,custaddr_mst,ih.cust_num = ca0.cust_num AND ca0.cust_seq = 0
BillToState,Chap_InvoiceLines,0,state,,String,String,,0,ca0,custaddr_mst,ih.cust_num = ca0.cust_num AND ca0.cust_seq = 0
co_line,Chap_InvoiceLines,0,co_line,,Short Integer,Short Integer,,0,ii,inv_item_mst,BaseTable
co_num,Chap_InvoiceLines,0,co_num,,String,String,,0,ii,inv_item_mst,BaseTable
co_release,Chap_InvoiceLines,0,co_release,,Short Integer,Short Integer,,0,ii,inv_item_mst,BaseTable
cons_num,Chap_InvoiceLines,0,cons_num,,Long Integer,Long Integer,,0,ii,inv_item_mst,BaseTable
cost,Chap_InvoiceLines,0,cost,,Decimal,Decimal,,0,ii,inv_item_mst,BaseTable
CreateDate,Chap_InvoiceLines,0,CreateDate,,Date,Date,,0,ii,inv_item_mst,BaseTable
CreatedBy,Chap_InvoiceLines,0,CreatedBy,,String,String,,0,ii,inv_item_mst,BaseTable
cust_po,Chap_InvoiceLines,0,cust_po,,String,String,,0,ii,inv_item_mst,BaseTable
CustNum,Chap_InvoiceLines,0,cust_num,,String,String,,0,ih,inv_hdr_mst,ii.inv_num = ih.inv_num AND ii.inv_seq = ih.inv_seq
CustSeq,Chap_InvoiceLines,0,cust_seq,,Long Integer,Long Integer,,0,ih,inv_hdr_mst,ii.inv_num = ih.inv_num AND ii.inv_seq = ih.inv_seq
disc,Chap_InvoiceLines,0,disc,,Decimal,Decimal,,0,ii,inv_item_mst,BaseTable
do_line,Chap_InvoiceLines,0,do_line,,Long Integer,Long Integer,,0,ii,inv_item_mst,BaseTable
do_num,Chap_InvoiceLines,0,do_num,,String,String,,0,ii,inv_item_mst,BaseTable
do_seq,Chap_InvoiceLines,0,do_seq,,Short Integer,Short Integer,,0,ii,inv_item_mst,BaseTable
excise_tax_percent,Chap_InvoiceLines,0,excise_tax_percent,,Decimal,Decimal,,0,ii,inv_item_mst,BaseTable
inv_line,Chap_InvoiceLines,0,inv_line,,Long Integer,Long Integer,,0,ii,inv_item_mst,BaseTable
inv_num,Chap_InvoiceLines,0,inv_num,,String,String,,0,ii,inv_item_mst,BaseTable
inv_seq,Chap_InvoiceLines,0,inv_seq,,Long Integer,Long Integer,,0,ii,inv_item_mst,BaseTable
InvDate,Chap_InvoiceLines,0,inv_date,,Date,Date,,0,ih,inv_hdr_mst,ii.inv_num = ih.inv_num AND ii.inv_seq = ih.inv_seq
InWorkflow,Chap_InvoiceLines,0,InWorkflow,,Byte,Byte,,0,ii,inv_item_mst,BaseTable
item,Chap_InvoiceLines,0,item,,String,String,,0,ii,inv_item_mst,BaseTable
itemDescription,Chap_InvoiceLines,0,description,,String,String,,0,itm,item_mst,itm.[item] = ii.[item]
new_price,Chap_InvoiceLines,0,new_price,,Decimal,Decimal,,0,ii,inv_item_mst,BaseTable
NoteExistsFlag,Chap_InvoiceLines,0,NoteExistsFlag,,Byte,Byte,,0,ii,inv_item_mst,BaseTable
old_price,Chap_InvoiceLines,0,old_price,,Decimal,Decimal,,0,ii,inv_item_mst,BaseTable
orig_inv_num,Chap_InvoiceLines,0,orig_inv_num,,String,String,,0,ii,inv_item_mst,BaseTable
price,Chap_InvoiceLines,0,price,,Decimal,Decimal,,0,ii,inv_item_mst,BaseTable
process_ind,Chap_InvoiceLines,0,process_ind,,String,String,,0,ii,inv_item_mst,BaseTable
qty_invoiced,Chap_InvoiceLines,0,qty_invoiced,,Decimal,Decimal,,0,ii,inv_item_mst,BaseTable
