PropertyName,DefinedInCollection,Depth,ColumnName,SubCollectionName,DataType,EffectiveDataType,PropertyValue,DoNotUse
BillToName,SLCoAlls,0,name,,,String,,0
Cad0CorpCust,SLCoAlls,0,corp_cust,,,NumSortedString,,0
CloseDate,SLCoAlls,0,close_date,,,Date,,0
CoAllCurrCode,SLCoAlls,0,curr_code,,,String,,0
CoNum,SLCoAlls,0,co_num,,,NumSortedString,,0
Cost,SLCoAlls,0,cost,,,Decimal,,0
CreateDate,SLCoAlls,0,CreateDate,,Date,Date,,0
CreatedBy,SLCoAlls,0,CreatedBy,,String,String,,0
CreditHold,SLCoAlls,0,credit_hold,,,Byte,,0
CreditHoldDate,SLCoAlls,0,credit_hold_date,,,Date,,0
CreditHoldReason,SLCoAlls,0,credit_hold_reason,,,String,,0
CreditHoldUser,SLCoAlls,0,credit_hold_user,,,String,,0
Cur0AmtFormat,SLCoAlls,0,amt_format,,,String,,0
Cur0CstPrcFormat,SLCoAlls,0,cst_prc_format,,,String,,0
CusaSlsman,SLCoAlls,0,slsman,,String,String,,0
CustNum,SLCoAlls,0,cust_num,,,NumSortedString,,0
CustPo,SLCoAlls,0,cust_po,,,String,,0
CustSeq,SLCoAlls,0,cust_seq,,,Long Integer,,0
Disc,SLCoAlls,0,disc,,,Decimal,,0
ExchRate,SLCoAlls,0,exch_rate,,,Decimal,,0
Freight,SLCoAlls,0,freight,,,Decimal,,0
FreightT,SLCoAlls,0,freight_t,,,Decimal,,0
FrtTaxCode1,SLCoAlls,0,frt_tax_code1,,,String,,0
FrtTaxCode2,SLCoAlls,0,frt_tax_code2,,,String,,0
MChargesT,SLCoAlls,0,m_charges_t,,,Decimal,,0
MiscCharges,SLCoAlls,0,misc_charges,,,Decimal,,0
MscTaxCode1,SLCoAlls,0,msc_tax_code1,,,String,,0
MscTaxCode2,SLCoAlls,0,msc_tax_code2,,,String,,0
NoteExistsFlag,SLCoAlls,0,NoteExistsFlag,,Byte,Byte,,0
OrderDate,SLCoAlls,0,order_date,,,Date,,0
OrigSite,SLCoAlls,0,orig_site,,,String,,0
PrepaidAmt,SLCoAlls,0,prepaid_amt,,,Decimal,,0
PrepaidT,SLCoAlls,0,prepaid_t,,,Decimal,,0
Price,SLCoAlls,0,price,,,Decimal,,0
ProspectId,SLCoAlls,0,prospect_id,,NumSortedString,NumSortedString,,0
RecordDate,SLCoAlls,0,RecordDate,,Date,Date,,0
RowPointer,SLCoAlls,0,RowPointer,,GUID,GUID,,0
SalesTax,SLCoAlls,0,sales_tax,,,Decimal,,0
SalesTax2,SLCoAlls,0,sales_tax_2,,,Decimal,,0
SalesTaxT,SLCoAlls,0,sales_tax_t,,,Decimal,,0
SalesTaxT2,SLCoAlls,0,sales_tax_t2,,,Decimal,,0
SiteRef,SLCoAlls,0,site_ref,,,String,,0
SLCoitemAlls,SLCoAlls,0,,SLCoitemAlls,,,,0
Slsman,SLCoAlls,0,slsman,,String,String,,0
Stat,SLCoAlls,0,stat,,,String,,0
SyncReqd,SLCoAlls,0,sync_reqd,,,Byte,,0
TaxCode1,SLCoAlls,0,tax_code1,,,String,,0
TaxCode2,SLCoAlls,0,tax_code2,,,String,,0
TermsCode,SLCoAlls,0,terms_code,,,String,,0
Type,SLCoAlls,0,type,,,String,,0
UpdatedBy,SLCoAlls,0,UpdatedBy,,String,String,,0
UseExchRate,SLCoAlls,0,use_exch_rate,,,Byte,,0
WithholdingTaxAmount,SLCoAlls,0,withholding_tax_amount,,,Decimal,,0
WithholdingTaxAmountT,SLCoAlls,0,withholding_tax_amount_t,,,Decimal,,0
