PropertyName,DefinedInCollection,Depth,ColumnName,SubCollectionName,DataType,EffectiveDataType,PropertyValue,DoNotUse
Adr01CreditHold,SLCoitems,0,credit_hold,,,Byte,,0
Adr0CorpCred,SLCoitems,0,corp_cred,,,Byte,,0
Adr0CorpCust,SLCoitems,0,corp_cust,,,NumSortedString,,0
Adr0CreditHold,SLCoitems,0,credit_hold,,,Byte,,0
Adr0Name,SLCoitems,0,name,,,String,,0
AdrAddr_1,SLCoitems,0,addr##1,,,String,,0
AdrAddr_2,SLCoitems,0,addr##2,,,String,,0
AdrAddr_3,SLCoitems,0,addr##3,,,String,,0
AdrAddr_4,SLCoitems,0,addr##4,,,String,,0
AdrCity,SLCoitems,0,city,,,String,,0
AdrCountry,SLCoitems,0,country,,,String,,0
AdrCreditHold,SLCoitems,0,,,,Byte,"Case When (Adr0CorpCust is not null and Adr0CorpCred = 1 and Adr0CreditHold <> 1) then Adr01CreditHold else Adr0CreditHold end 
",0
AdrCurrCode,SLCoitems,0,curr_code,,,String,,0
AdrCurrdescription,SLCoitems,0,description,,,String,,0
AdrFaxNum,SLCoitems,0,fax_num,,,String,,0
AdrName,SLCoitems,0,,,,String,"Case When ProspectId is not null and ProspectId <> '' Then ProCompany    
   Else Name 
End 
",0
AdrState,SLCoitems,0,state,,,String,,0
AdrZip,SLCoitems,0,zip,,,String,,0
AllowOnPickList,SLCoitems,0,allow_on_pick_list,,,Byte,,0
ApsDueDate,SLCoitems,0,,,,Date,,0
ApsItem,SLCoitems,0,,,,String,,0
ApsOrderId,SLCoitems,0,,,,String,,0
ApsRequestDate,SLCoitems,0,,,,Date,,0
AUContractPriceMethod,SLCoitems,0,AU_contract_price_method,,,String,,0
AUInvItems,SLCoitems,0,,AUInvItems,,,"CoNum=CoNum,CoLine=CoLine,CoRelease=CoRelease",0
AUPriceBy,SLCoitems,0,AU_price_by,,,String,,0
AUReasonText,SLCoitems,0,reason_text,,,String,,0
AURePrice,SLCoitems,0,new_price,,,Decimal,,0
BatchId,SLCoitems,0,batch_id,,,Long Integer,,0
Bol,SLCoitems,0,bol,,,Byte,,0
BrkQty_1,SLCoitems,0,,,,Decimal,,0
BrkQty_2,SLCoitems,0,,,,Decimal,,0
BrkQty_3,SLCoitems,0,,,,Decimal,,0
