PropertyName,DefinedInCollection,Depth,ColumnName,SubCollectionName,DataType,EffectiveDataType,PropertyValue,DoNotUse
AckStat,SLCos,0,ack_stat,,,String,,0
AcoCreateDate,AITSLCos,2,CreateDate,,Date,Date,,0
AcoCreatedBy,AITSLCos,2,CreatedBy,,String,String,,0
AcoInWorkflow,AITSLCos,2,InWorkflow,,Byte,Byte,,0
AcoNoteExistsFlag,AITSLCos,2,NoteExistsFlag,,Byte,Byte,,0
AcoRecordDate,AITSLCos,2,RecordDate,,Date,Date,,0
AcoRowPointer,AITSLCos,2,RowPointer,,GUID,GUID,,0
AcoUpdatedBy,AITSLCos,2,UpdatedBy,,String,String,,0
AdrName,SLCos,0,name,,String,String,,0
AIT_OrderTrackingNumbers,AITSLCos,2,,AIT_SS_OrderTrackingNumbers,,,,0
AIT_SS_BOLByRefNums,AITSLCos,2,,AIT_SS_BOLByRefNums,,,CoNum=ref_num,0
AIT_SS_ShopPackages,AITSLCos,2,,AIT_SS_ShopPackages,,,,0
AIT_SS_ShopResults,AITSLCos,2,,AIT_SS_ShopResults,,,,0
AITSSvalidate_address,AITSLCos,2,validate_address,,Byte,Byte,,0
Amount,SLCos,0,,,Decimal,Decimal,,0
ApplyToInvNum,SLCos,0,apply_to_inv_num,,,NumSortedString,,0
ApsPullUp,SLCos,0,aps_pull_up,,,Byte,,0
AUContractID,SLCos,0,,,NumSortedString,NumSortedString,(SELECT TOP 1 contract_id FROM  AU_co_contract_line WHERE co_num = CoNum),0
BillToAddr_1,SLCos,0,addr##1,,,String,,0
BillToAddr_2,SLCos,0,addr##2,,,String,,0
BillToAddr_3,SLCos,0,addr##3,,,String,,0
BillToAddr_4,SLCos,0,addr##4,,,String,,0
BillToCity,SLCos,0,city,,,String,,0
BillToContact_3,SLCos,0,contact##3,,,String,,0
BillToCountry,SLCos,0,country,,,String,,0
BillToEmailAddr,SLCos,0,customer_email_addr,,,String,,0
BillToFaxNum,SLCos,0,fax_num,,,String,,0
BillToName,SLCos,0,name,,,String,,0
BillToPhone_3,SLCos,0,phone##3,,,String,,0
BillToState,SLCos,0,state,,,String,,0
BillToStateCode,SLCos,0,state_code,,,String,,0
BillToStateDescription,SLCos,0,description,,,String,,0
BillToZip,SLCos,0,zip,,,String,,0
BillTransportationTo,AITSLCos,2,BillTransportationTo,,String,String,,0
BR_PartyName,AITSLCos,2,,,String,String,(Select TOP 1 x.Name From AIT_SS_Shipping_Party x Where x.PartyNum = Aco.BR_PartyNum and x.PartyType = 'B'),0
BR_PartyNum,AITSLCos,2,BR_PartyNum,,Long Integer,Long Integer,,0
Cad01CreditHold,SLCos,0,credit_hold,,,Byte,,0
Cad01Name,SLCos,0,name,,,String,,0
Cad0CorpAddress,SLCos,0,corp_address,,,Byte,,0
Cad0CorpCred,SLCos,0,corp_cred,,,Byte,,0
Cad0CorpCust,SLCos,0,corp_cust,,String,String,,0
Cad0CreditHold,SLCos,0,credit_hold,,,Byte,,0
Cad0CurrPlaces,SLCos,0,places,,,Byte,,0
Cad0Name,SLCos,0,name,,,String,,0
CadrCurrCode,SLCos,0,curr_code,,,String,,0
CadrName,SLCos,0,,,,String,"Case When CustNum is not null and CustNum <> ''
   Then AdrName
   Else
      Case When ProspectId is not null and ProspectId <> ''
         Then ProCompany
         Else ''
      End
End",0
camCampaignId,SLCos,0,campaign_id,,NumSortedString,NumSortedString,,0
camCampaignStatus,SLCos,0,campaign_status,,String,String,,0
camCampaignType,SLCos,0,campaign_type,,String,String,,0
Caption,SLCos,0,,,String,String,,0
CarrierServiceType,SLCos,0,carrier_service_type,,,String,,0
Certifiedpickup,AITSLCos,2,Certifiedpickup,,Byte,Byte,,0
CfgMainConfigGid,SLCos,0,config_gid,,,String,,0
CfgMainConfigModel,SLCos,0,config_model,,,String,,0
CfgMainConfigStatus,SLCos,0,config_status,,,String,,0
Charfld1,SLCos,0,charfld1,,,String,,0
Charfld2,SLCos,0,charfld2,,,String,,0
Charfld3,SLCos,0,charfld3,,,String,,0
CloseDate,SLCos,0,close_date,,,Date,,0
CoCreditHold,SLCos,0,,,,Byte,Case When (Cad0CorpCust is not null and Cad0CorpCred = 1 and Cad0CreditHold <> 1) then Cad01CreditHold else Cad0CreditHold end,0
COD,AITSLCos,2,COD,,,Byte,,0
CODCollectionType,AITSLCos,2,CODCollectionType,,String,String,,0
ConfigDocId,SLCos,0,config_doc_id,,,NumSortedString,,0
ConfigId,SLCos,0,config_id,,,NumSortedString,,0
ConfigModel,SLCos,0,config_model,,,String,,0
Consignment,SLCos,0,consignment,,,Byte,,0
Consolidate,SLCos,0,consolidate,,,Byte,,0
Contact,SLCos,0,contact,,,String,,0
CoNum,SLCos,0,co_num,,,NumSortedString,,0
CoNumSort,SLCos,0,,,,NumSortedString,( SPACE( 7 - LEN( CoNum ) ) + CoNum ),0
ConvertType,SLCos,0,convert_type,,,String,,0
CorpCust,SLCos,0,corp_cust,,,NumSortedString,,0
CoShipmentApprovalRequired,SLCos,0,shipment_approval_required,,,Byte,,0
Cost,SLCos,0,cost,,,Decimal,,0
Count,SLCos,0,,,Long Integer,Long Integer,,0
CreateDate,SLCos_FT,1,CreateDate,,Date,Date,,0
CreditHold,SLCos,0,credit_hold,,,Byte,,0
CreditHoldDate,SLCos,0,credit_hold_date,,,Date,,0
CreditHoldReason,SLCos,0,credit_hold_reason,,,String,,0
CreditHoldReasonDesc,SLCos,0,description,,,String,,0
CreditHoldUser,SLCos,0,credit_hold_user,,,String,,0
Cur0AmtFormat,SLCos,0,amt_format,,,String,,0
Cur0CstPrcFormat,SLCos,0,cst_prc_format,,,String,,0
CurAllowOver,SLCos,0,allow_currate_override,,Byte,Byte,,0
