PropertyName,DefinedInCollection,Depth,ColumnName,SubCollectionName,DataType,EffectiveDataType,PropertyValue,DoNotUse
BankTransitNumMask,SLCountries,0,bank_transit_num_mask,,,String,,0
Country,SLCountries,0,country,,,String,,0
EcCode,SLCountries,0,ec_code,,,String,,0
ExpDocReqd,SLCountries,0,exp_doc_reqd,,,Byte,,0
InWorkflow,SLCountries,0,InWorkflow,,,Byte,,0
ISOCountry,SLCountries,0,iso_country,,,String,,0
ISOCountryCode,SLCountries,0,iso_country_code,,,String,,0
Nationality,SLCountries,0,MX_nationality,,,String,,0
NoteExistsFlag,SLCountries,0,NoteExistsFlag,,Byte,Byte,,0
RecordDate,SLCountries,0,RecordDate,,Date,Date,,0
RowPointer,SLCountries,0,RowPointer,,GUID,GUID,,0
SLCurrencyCodes,SLCountries,0,,SL.SLCurrencyCodes,Object,Object,,0
SLCustAddrs,SLCountries,0,,SL.SLCustAddrs,Object,Object,,0
SLEmployees,SLCountries,0,,SL.SLEmployees,Object,Object,,0
SLParms,SLCountries,0,,SL.SLParms,Object,Object,,0
SLShipTos,SLCountries,0,,SL.SLShipTos,Object,Object,,0
SLVendaddrs,SLCountries,0,,SL.SLVendaddrs,Object,Object,,0
SLWhses,SLCountries,0,,SL.SLWhses,Object,Object,,0
SsdEcCode,SLCountries,0,ssd_ec_code,,,String,,0
State,SLCountries,0,state,,String,String,,0
UseAltAddrReportFormatting,SLCountries,0,use_alt_addr_report_formatting,,,Byte,,0
