PropertyName,DefinedInCollection,Depth,ColumnName,SubCollectionName,DataType,EffectiveDataType,PropertyValue,DoNotUse
AccountName,SLCustomers,0,account_name,,,String,,0
ActiveForDataIntegration,SLCustomers,0,active_for_data_integration,,,Byte,,0
Addr_1,SLCustomers,0,addr##1,,,String,,0
Addr_2,SLCustomers,0,addr##2,,,String,,0
Addr_3,SLCustomers,0,addr##3,,,String,,0
Addr_4,SLCustomers,0,addr##4,,,String,,0
AddrLastShipDate,Chap_SLCustomers,2,Uf_LastShipDate,,Date,Date,,0
AdrRecordDate,SLCustomers,0,RecordDate,,,Date,,0
AdrRowPointer,SLCustomers,0,RowPointer,,,GUID,,0
AmtOverInvAmt,SLCustomers,0,amt_over_inv_amt,,,Decimal,,0
ApsPullUp,SLCustomers,0,aps_pull_up,,,Byte,,0
AUContractPriceMethod,SLCustomers,0,AU_contract_price_method,,,String,,0
AUPriceBy,SLCustomers,0,AU_price_by,,,String,,0
AvgBalOs,SLCustomers,0,avg_bal_os,,,Decimal,,0
AvgDaysOs,SLCustomers,0,avg_days_os,,,Short Integer,,0
BalMethod,SLCustomers,0,bal_method,,,String,,0
BankAcctNo,SLCustomers,0,bank_acct_no,,,String,,0
BankAuthorityPartyId,SLCustomers,0,bank_authority_party_id,,,String,,0
BankCode,SLCustomers,0,bank_code,,,String,,0
BankName,SLCustomers,0,name,,,String,,0
BankTransitNumber,SLCustomers,0,bank_transit_num,,,String,,0
BillToCountry,SLCustomers,0,country,,,String,,0
BillToEmail,SLCustomers,0,bill_to_email,,,String,,0
BranchId,SLCustomers,0,branch_id,,,String,,0
BusinessIdentifierCode,SLCustomers,0,business_identifier_code,,,String,,0
BusinessPhone,SLCustomers,0,business_phone,,,String,,0
CalcDate,SLCustomers,0,calc_date,,,Date,,0
CarrierAccount,SLCustomers,0,carrier_account,,String,String,,0
CarrierBillToTransportation,SLCustomers,0,carrier_bill_to_transportation,,String,String,,0
CarrierResidentialIndicator,SLCustomers,0,carrier_residential_indicator,,Byte,Byte,,0
CarrierUpchargePct,SLCustomers,0,carrier_upcharge_pct,,Decimal,Decimal,,0
CatalogDescription,SLCustomers,0,description,,,String,,0
CatalogId,SLCustomers,0,catalog_id,,,String,,0
CC1ExteranlEntity,SLCustomers,0,external_entity,,,String,,0
CcContact_2,SLCustomers,0,contact##2,,,String,,0
CcExportType,SLCustomers,0,export_type,,,String,,0
CcPhone_2,SLCustomers,0,phone##2,,,String,,0
Charfld1,SLCustomers,0,charfld1,,,String,,0
Charfld2,SLCustomers,0,charfld2,,,String,,0
Charfld3,SLCustomers,0,charfld3,,,String,,0
City,SLCustomers,0,city,,,String,,0
CNLongBankAcctNo,SLCustomers,0,CN_long_bank_acct_no,,,String,,0
CompanyRevenue,SLCustomers,0,company_revenue,,,Decimal,,0
Consolidate,SLCustomers,0,consolidate,,,Byte,,0
ConstructiveSalePricePct,SLCustomers,0,constructive_sale_price_pct,,,Decimal,,0
Contact_1,SLCustomers,0,contact##1,,,String,,0
Contact_2,SLCustomers,0,contact##2,,,String,,0
Contact_3,SLCustomers,0,contact##3,,,String,,0
CorpAddress,SLCustomers,0,corp_address,,,Byte,,0
CorpadrAddr_1,SLCustomers,0,addr##1,,,String,,0
CorpadrAddr_2,SLCustomers,0,addr##2,,,String,,0
CorpadrAddr_3,SLCustomers,0,addr##3,,,String,,0
CorpadrAddr_4,SLCustomers,0,addr##4,,,String,,0
CorpadrCity,SLCustomers,0,city,,,String,,0
CorpadrCountry,SLCustomers,0,country,,,String,,0
CorpadrCounty,SLCustomers,0,county,,,String,,0
CorpadrCreditHold,SLCustomers,0,credit_hold,,,Byte,,0
CorpadrCurrCode,SLCustomers,0,curr_code,,,String,,0
CorpadrFaxNum,SLCustomers,0,fax_num,,,String,,0
CorpadrName,SLCustomers,0,name,,,String,,0
CorpadrState,SLCustomers,0,state,,,String,,0
CorpadrZip,SLCustomers,0,zip,,,String,,0
CorpCred,SLCustomers,0,corp_cred,,,Byte,,0
CorpCust,SLCustomers,0,corp_cust,,,NumSortedString,,0
CorpDisplayAddress,SLCustomers,0,,,,String,"CASE WHEN adr.corp_cust <> '' AND adr.corp_cust IS NOT NULL THEN dbo.FormatAddress(adr.corp_cust, 0) ELSE '' END",0
CouExpDocReqd,SLCustomers,0,exp_doc_reqd,,,Byte,,0
Country,SLCustomers,0,country,,,String,,0
County,SLCustomers,0,county,,,String,,0
CreateDate,SLCustomers,0,CreateDate,,,Date,,0
CreditHold,SLCustomers,0,credit_hold,,,Byte,,0
CreditHoldDate,SLCustomers,0,credit_hold_date,,,Date,,0
CreditHoldDescription,SLCustomers,0,description,,,String,,0
CreditHoldReason,SLCustomers,0,credit_hold_reason,,,String,,0
CreditHoldUser,SLCustomers,0,credit_hold_user,,,String,,0
CreditLimit,SLCustomers,0,credit_limit,,,Decimal,,0
CrmGuid,SLCustomers,0,crm_guid,,,GUID,,0
CurrAmtFormat,SLCustomers,0,amt_format,,,String,,0
CurrAmtTotFormat,SLCustomers,0,amt_tot_format,,,String,,0
CurrCode,SLCustomers,0,curr_code,,,String,,0
CurrCstPrcFormat,SLCustomers,0,cst_prc_format,,,String,,0
CusShipmentApprovalRequired,SLCustomers,0,shipment_approval_required,,,Byte,,0
CustBank,SLCustomers,0,cust_bank,,,String,,0
CustNum,SLCustomers,0,cust_num,,,NumSortedString,,0
CustNum_1,SLCustomers,0,cust_num,,,NumSortedString,,0
CustomerEmailAddr,SLCustomers,0,customer_email_addr,,,String,,0
CustSeq,SLCustomers,0,cust_seq,,,Long Integer,,0
CustSeq_1,SLCustomers,0,cust_seq,,,Long Integer,,0
CustType,SLCustomers,0,cust_type,,,String,,0
CustTypeDescription,Chap_SLCustomers,2,,,String,String,(Select description from custtype where cust_type = CustType),0
Datefld,SLCustomers,0,datefld,,,Date,,0
DaysOverInvDueDate,SLCustomers,0,days_over_inv_due_date,,,Short Integer,,0
DaysShippedAfterDueDateTolerance,SLCustomers,0,days_shipped_after_due_date_tolerance,,,Short Integer,,0
DaysShippedBeforeDueDateTolerance,SLCustomers,0,days_shipped_before_due_date_tolerance,,,Short Integer,,0
Decifld1,SLCustomers,0,decifld1,,,Decimal,,0
Decifld2,SLCustomers,0,decifld2,,,Decimal,,0
Decifld3,SLCustomers,0,decifld3,,,Decimal,,0
DefaultShipTo,SLCustomers,0,default_ship_to,,,Long Integer,,0
Delterm,SLCustomers,0,delterm,,,String,,0
DeltermDescription,SLCustomers,0,description,,,String,,0
DerArtranTotalYTD,SLCustomers,0,,,,Decimal,(SELECT SUM(artran.amount) FROM dbo.artran WHERE artran.cust_num=CustNum AND artran.type='I' AND artran.inv_date >= dbo.GetPeriodStartDate(1)),0
DerBankTransitNumMask,SLCustomers,0,DerBankTransitNumMask,,,String,,0
DerBillToAddress,SLCustomers,0,,,,String,"CASE WHEN CustNum <> '' AND CustNum IS NOT NULL THEN dbo.FormatAddress(CustNum, 0) ELSE '' END",0
DerConsignmentWhse,SLCustomers,0,,,,String,(select whse.whse from dbo.whse where whse.cust_num = CustNum AND whse.cust_seq = CustSeq),0
DerContact,SLCustomers,0,,,,String,"CASE WHEN CustSeq = 0 THEN Contact_1 ELSE Contact_2 END
",0
