PropertyName,DefinedInCollection,Depth,ColumnName,SubCollectionName,DataType,EffectiveDataType,PropertyValue,DoNotUse
AllocToRent,ERS_RentalItemLocs,1,AllocToRent,,Decimal,Decimal,,0
AssignedToBePickedQty,SLItemLocs,0,assigned_to_be_picked_qty,,,Decimal,,0
AvailToRent,ERS_RentalItemLocs,1,AvailToRent,,Decimal,Decimal,,0
CreateDate,SLItemLocs_FT,1,CreateDate,,Date,Date,,0
CreatedBy,ERS_RentalItemLocs,1,CreatedBy,,String,String,,0
DerASPSearch,SLItemLocs,0,,,,String,"ISNULL(Loc,{''}) + '|' + STR(ISNULL(QtyOnHand,0), 19, 8) + '|' + STR(ISNULL(QtyRsvd,0), 19, 8) + '|' + ISNULL(ItmUM,{''})",0
DerAvailToRent,ERS_RentalItemLocs,1,,,,Decimal,AvailToRent,0
DerCurUCost,SLItemLocs,0,,,,Decimal,"(CASE when exists (select 1 from dbo.invparms as prm where prm.cost_item_at_whse = 0) 
THEN
  ItmCurUCost
ELSE
WhsCurUCost
END)",0
DerILocTotalAvailToRent1,ERS_RentalItemLocs,1,,,Decimal,Decimal,,0
DerItemLocRentalStock,ERS_RentalItemLocs,1,,,,Decimal,(CASE WHEN RentalInventory = 1 THEN QtyOnHand ELSE 0 END),0
DerItemOnHoldVar,ERS_RentalItemLocs,1,,,Decimal,Decimal,"(Select sum(unt.Hold_flag) from fs_unit unt 
join ers_unit eunt on unt.item=eunt.item and unt.ser_num=eunt.ser_num
join  ERS_itemloc ersloc ON unt.item=ersloc.item and unt.whse= ersloc.whse and eunt.Loc = ersloc.loc
where unt.item=Item  and unt.whse=Whse and ersloc.RentalInventory=1)",0
DerItemRentalStock,ERS_RentalItemLocs,1,,,,Decimal,(Select SUM(loc.qty_on_hand) from itemloc loc left join ers_itemloc ersloc on loc.item=ersloc.item and loc.whse=ersloc.whse and loc.loc=ersloc.loc  where loc.whse=Whse and loc.item=Item and loc.mrb_flag=1 and ersloc.RentalInventory=1),0
DerItemTotalAvailToRent,ERS_RentalItemLocs,1,,,,Decimal,DerItemRentalStock - DerItemTotalQtyOnRent,0
DerItemTotalAvailToRent1,ERS_RentalItemLocs,1,,,Decimal,Decimal,,0
