PropertyName,DefinedInCollection,Depth,ColumnName,SubCollectionName,DataType,EffectiveDataType,PropertyValue,DoNotUse
BaseCode_1,SLItemprices,0,base_code##1,,,String,,0
BaseCode_2,SLItemprices,0,base_code##2,,,String,,0
BaseCode_3,SLItemprices,0,base_code##3,,,String,,0
BaseCode_4,SLItemprices,0,base_code##4,,,String,,0
BaseCode_5,SLItemprices,0,base_code##5,,,String,,0
BrkPrice_1,SLItemprices,0,brk_price##1,,,Decimal,,0
BrkPrice_2,SLItemprices,0,brk_price##2,,,Decimal,,0
BrkPrice_3,SLItemprices,0,brk_price##3,,,Decimal,,0
BrkPrice_4,SLItemprices,0,brk_price##4,,,Decimal,,0
BrkPrice_5,SLItemprices,0,brk_price##5,,,Decimal,,0
BrkQty_1,SLItemprices,0,brk_qty##1,,,Decimal,,0
BrkQty_2,SLItemprices,0,brk_qty##2,,,Decimal,,0
BrkQty_3,SLItemprices,0,brk_qty##3,,,Decimal,,0
BrkQty_4,SLItemprices,0,brk_qty##4,,,Decimal,,0
BrkQty_5,SLItemprices,0,brk_qty##5,,,Decimal,,0
CurrCode,SLItemprices,0,curr_code,,,String,,0
CurrCstPrcFormat,SLItemprices,0,cst_prc_format,,,String,,0
DerNewPrice,SLItemprices,0,,,,Decimal,'',0
DerOldPrice,SLItemprices,0,,,,Decimal,'',0
DerOldUnitPrice1,SLItemprices,0,,,,Decimal,UnitPrice1,0
DerPriceType,SLItemprices,0,,,,String,'',0
DerQtyOnHand,SLItemprices,0,,,,Decimal,"(SELECT SUM(ISNULL(itw.qty_on_hand,0.0)) FROM dbo.itemwhse itw WHERE  itw.item = Item)",0
DerUnitPrice1,SLItemprices,0,,,,Decimal,0.0,0
DerUnitPrice2,SLItemprices,0,,,,Decimal,0.0,0
DerUnitPrice3,SLItemprices,0,,,,Decimal,0.0,0
DerUnitPrice4,SLItemprices,0,,,,Decimal,0.0,0
DerUnitPrice5,SLItemprices,0,,,,Decimal,0.0,0
DolPercent_1,SLItemprices,0,dol_percent##1,,,String,,0
DolPercent_2,SLItemprices,0,dol_percent##2,,,String,,0
DolPercent_3,SLItemprices,0,dol_percent##3,,,String,,0
DolPercent_4,SLItemprices,0,dol_percent##4,,,String,,0
DolPercent_5,SLItemprices,0,dol_percent##5,,,String,,0
EffectDate,SLItemprices,0,effect_date,,,Date,,0
InWorkflow,SLItemprices,0,InWorkflow,,,Byte,,0
Item,SLItemprices,0,item,,,String,,0
ItmCurUCost,SLItemprices,0,cur_u_cost,,,Decimal,,0
ItmDescription,SLItemprices,0,description,,,String,,0
ItmJob,SLItemprices,0,job,,,NumSortedString,,0
ItmProductCode,SLItemprices,0,product_code,,,String,,0
ItmSuffix,SLItemprices,0,suffix,,,Short Integer,,0
ItmUM,SLItemprices,0,u_m,,,String,,0
ItmUnitCost,SLItemprices,0,unit_cost,,,Decimal,,0
NoteExistsFlag,SLItemprices,0,NoteExistsFlag,,,Byte,,0
Pricecode,SLItemprices,0,pricecode,,,String,,0
PriDescription,SLItemprices,0,description,,,String,,0
RecordDate,SLItemprices,0,RecordDate,,,Date,,0
Reprice,SLItemprices,0,reprice,,,Byte,,0
RowPointer,SLItemprices,0,RowPointer,,,GUID,,0
UnitPrice1,SLItemprices,0,unit_price1,,,Decimal,,0
UnitPrice2,SLItemprices,0,unit_price2,,,Decimal,,0
UnitPrice3,SLItemprices,0,unit_price3,,,Decimal,,0
UnitPrice4,SLItemprices,0,unit_price4,,,Decimal,,0
UnitPrice5,SLItemprices,0,unit_price5,,,Decimal,,0
UnitPrice6,SLItemprices,0,unit_price6,,,Decimal,,0
