PropertyName,DefinedInCollection,Depth,ColumnName,SubCollectionName,DataType,EffectiveDataType,PropertyValue,DoNotUse
AbcCode,SLItems,0,abc_code,,,String,,0
AbnormalSize,SLItems,0,PP_abnormal_size,,,Byte,,0
AcceptReq,SLItems,0,accept_req,,,Byte,,0
Accessible,AIT_SS_SLItems,2,Accessible,,Byte,Byte,,0
ActiveForCustomerPortal,SLItems,0,active_for_customer_portal,,,Byte,,0
ActiveForDataIntegration,SLItems,0,active_for_data_integration,,,Byte,,0
aes_um,AIT_SS_SLItems,2,aes_um,,String,String,,0
AIT_PackageType,AIT_SS_SLItems,2,PackageType,,String,String,,0
AIT_SelfContained,AIT_SS_SLItems,2,IsSelfContained,,Byte,Byte,,0
AIT_SS_ItemHazMatSubRiskClass,AIT_SS_SLItems,2,,AIT_SS_ItemHazMatSubRiskClass,,,Item=item,0
AIT_SS_ItemSelfContainSeq,AIT_SS_SLItems,2,,AIT_SS_ItemSelfContainSeq,,,,0
AITRecordDate,AIT_SS_SLItems,2,RecordDate,,Date,Date,,0
AITRowPointer,AIT_SS_SLItems,2,RowPointer,,GUID,GUID,,0
AllowOnPickList,SLItems,0,allow_on_pick_list,,,Byte,,0
AltItem,SLItems,0,alt_item,,,String,,0
ApsMode,SLCustomerPortalItems,1,apsmode,,,String,,0
Area,SLItems,0,PP_area,,,Decimal,,0
AreaUM,SLItems,0,PP_area_u_m,,,String,,0
AsmFixed,SLItems,0,asm_fixed,,,Decimal,,0
AsmFixture,SLItems,0,asm_fixture,,,Decimal,,0
AsmMatl,SLItems,0,asm_matl,,,Decimal,,0
AsmOther,SLItems,0,asm_other,,,Decimal,,0
AsmOutside,SLItems,0,asm_outside,,,Decimal,,0
AsmRun,SLItems,0,asm_run,,,Decimal,,0
AsmSetup,SLItems,0,asm_setup,,,Decimal,,0
AsmTool,SLItems,0,asm_tool,,,Decimal,,0
AsmVar,SLItems,0,asm_var,,,Decimal,,0
AttgiDescription,SLItems,0,description,,,String,,0
AttglDescription,SLItems,0,description,,,String,,0
AttgpDescription,SLItems,0,description,,,String,,0
AU_FMEACoreTeam,SLItems,0,description_3,,,String,,0
AU_FMEADetails,SLItems,0,,AUFMEADetails,,,Item=Item,0
AU_FMEAModelYear,SLItems,0,description_1,,,String,,0
AU_FMEAOriginDate,SLItems,0,origin_date,,,Date,,0
AU_FMEAPreparedBy,SLItems,0,description_4,,,String,,0
AU_FMEAProgram,SLItems,0,description_2,,,String,,0
AU_FMEARevisionDate,SLItems,0,revision_date,,,Date,,0
AU_FMEAs,SLItems,0,,AUFMEAs,,,Item=Item,0
AutoCreateForConfig,SLItems,0,auto_create_for_config,,,String,,0
AutoCreateForConfigExternalOrder,SLItems,0,auto_create_for_config_external_order,,,Byte,,0
AutoJob,SLItems,0,auto_job,,,String,,0
AutoJobForExternalOrder,SLItems,0,auto_job_for_external_order,,,Byte,,0
AutoPost,SLItems_FT,1,auto_post,,,Byte,,0
AvgFovhdCost,SLItems,0,avg_fovhd_cost,,,Decimal,,0
AvgLbrCost,SLItems,0,avg_lbr_cost,,,Decimal,,0
AvgMatlCost,SLItems,0,avg_matl_cost,,,Decimal,,0
AvgOutCost,SLItems,0,avg_out_cost,,,Decimal,,0
AvgUCost,SLItems,0,avg_u_cost,,,Decimal,,0
AvgVovhdCost,SLItems,0,avg_vovhd_cost,,,Decimal,,0
Backflush,SLItems,0,backflush,,,Byte,,0
batch_release_attribute1,SLItems,0,batch_release_attribute1,,,Float,,0
batch_release_attribute2,SLItems,0,batch_release_attribute2,,,Float,,0
batch_release_attribute3,SLItems,0,batch_release_attribute3,,,Float,,0
BflushLoc,SLItems,0,bflush_loc,,,String,,0
BomLastImportDate,SLItems,0,bom_last_import_date,,,Date,,0
BulkMass,SLItems,0,PP_bulk_mass,,,Decimal,,0
BulkMassUM,SLItems,0,PP_bulk_mass_u_m,,,String,,0
Buyer,SLItems,0,buyer,,,String,,0
Caption,SLItems,0,,,String,String,,0
CfgModel,SLItems,0,cfg_model,,,String,,0
ChangeDate,SLItems,0,,,,Date,dbo.ItemLastGenDate(ItemChangeDate),0
Charfld1,SLItems,0,charfld1,,,String,,0
Charfld2,SLItems,0,charfld2,,,String,,0
Charfld3,SLItems,0,charfld3,,,String,,0
Charfld4,SLItems,0,charfld4,,,String,,0
ChargeItem,SLItems,0,charge_item,,,Byte,,0
ChgDate,SLItems,0,chg_date,,,Date,,0
CNCustNum,SLCustomerPortalItems,1,cust_num,,NumSortedString,NumSortedString,,0
CNItemTaxCategory,SLItems,0,CN_item_tax_category,,,String,,0
CntryCountry,SLItems,0,country,,,String,,0
ComCValue_1,SLCustomerPortalItems,1,cvalue##1,,,Decimal,,0
CommCode,SLItems,0,comm_code,,,String,,0
CommCodeDescription,SLItems,0,description,,,String,,0
CommodityJurisdiction,SLItems,0,commodity_jurisdiction,,,String,,0
CompFixed,SLItems,0,comp_fixed,,,Decimal,,0
CompFixture,SLItems,0,comp_fixture,,,Decimal,,0
CompMatl,SLItems,0,comp_matl,,,Decimal,,0
CompOther,SLItems,0,comp_other,,,Decimal,,0
CompOutside,SLItems,0,comp_outside,,,Decimal,,0
CompRun,SLItems,0,comp_run,,,Decimal,,0
CompSetup,SLItems,0,comp_setup,,,Decimal,,0
CompTool,SLItems,0,comp_tool,,,Decimal,,0
CompVar,SLItems,0,comp_var,,,Decimal,,0
ControlledByExternalIcs,SLItems,0,controlled_by_external_ics,,,Byte,,0
CostMethod,SLItems,0,cost_method,,,String,,0
CostType,SLItems,0,cost_type,,,String,,0
